# wildcard knowledge map — one niche leaf per line:
#   Domain description | scale | medium | activity | era
# Flat-weighted on purpose: draw.sh picks uniformly. Keep it broad and unglamorous-inclusive.
# scale: quantum molecular human ecological geological cosmic
# medium: living mineral fluid social symbolic mechanical
# activity: measuring building healing performing governing preserving
# era: ancient-craft industrial contemporary frontier
drilling-mud rheology testing with Marsh funnel and rotational viscometer | molecular | fluid | measuring | industrial
mine-ventilation pressure-quantity survey balancing airways underground | human | fluid | governing | industrial
hailpad foam-block calibration sizing impact dents from storms | human | mineral | measuring | contemporary
managed aquifer recharge basin operation infiltrating storm runoff | geological | fluid | preserving | contemporary
dry-stone qanat gallery maintenance keeping desert water tunnels flowing | human | mineral | preserving | ancient-craft
hand peat-cutting with a tairsgear slicing turf banks for fuel | human | living | building | ancient-craft
gemstone faceting inspection checking girdle symmetry on a loupe | molecular | mineral | measuring | ancient-craft
glacier mass-balance stake reading tracking annual ice loss | geological | fluid | measuring | contemporary
varve chronology counting annual glacial-lake sediment couplets | geological | mineral | measuring | industrial
diamond drill core logging recording lithology foot by foot | geological | mineral | measuring | industrial
stream gauging by wading rod measuring discharge across a transect | human | fluid | measuring | industrial
cadastral boundary retracement chasing old monuments and bearings | human | symbolic | governing | ancient-craft
salt-pan brine bittern harvesting raking solar evaporation flats | human | mineral | building | ancient-craft
acid mine drainage limestone channel dosing neutralizing runoff | ecological | fluid | healing | contemporary
blast-hole stemming and timing for controlled quarry rock fragmentation | human | mineral | building | industrial
cosmogenic nuclide exposure dating of glacially polished bedrock | cosmic | mineral | measuring | frontier
snowpack pit profiling for avalanche shear-layer stability tests | human | fluid | measuring | contemporary
well-screen development surging a borehole to clear fines from the gravel pack | human | fluid | healing | industrial
radiosonde balloon launching for upper-air temperature soundings | cosmic | fluid | measuring | industrial
soil double-ring infiltrometer testing for field hydraulic conductivity | human | mineral | measuring | industrial
abandoned shaft capping and concrete plugging of legacy mine voids | human | mineral | preserving | contemporary
karst dye tracing to map underground stream connections | geological | fluid | measuring | industrial
placer gold sluice-box riffle setting and cleanup of black sands | human | mineral | building | ancient-craft
tide-gauge benchmark leveling tying sea level to a fixed datum | human | fluid | measuring | industrial
fluid inclusion microthermometry reading paleotemperatures in crystals | molecular | mineral | measuring | frontier
tailings dam piezometer monitoring for phreatic surface stability | human | fluid | governing | contemporary
hand-augering soil horizons and Munsell color matching in the field | human | mineral | measuring | industrial
lightning strike fulgurite excavation tracing fused sand tubes | molecular | mineral | preserving | contemporary
stone-quarry feather-and-wedge plug splitting along the rift grain | human | mineral | building | ancient-craft
groundwater-rights adjudication mapping for basin allocation hearings | ecological | social | governing | contemporary
bentonite slurry-wall trenching to cut off contaminant plumes | human | fluid | healing | industrial
