# wildcard concept corpus. source: wikipedia vital articles L3+L4 (CC BY-SA), titles only,
# used as inspiration pointers; no article text reproduced; IP-bearing entities excluded.
# screened by scripts/screen_concepts.sh, then curated + adversarially audited (multi-agent).
# format: concept | tier | facet   (tier in everyday|natural|scientific|abstract)
# pulled 2026-06-12 · candidates 7291 · safety-screened 7115 · curated final 461
abacus | everyday | math
abrasive | everyday | matter
absolute zero | scientific | physics
acceleration | scientific | physics
acid rain | natural | earth
adaptation | scientific | life
adhesive | everyday | matter
aeolian processes | natural | earth
aerodynamics | scientific | physics
aerosol | scientific | matter
albedo | scientific | light
allotropy | scientific | chemistry
alloy | everyday | matter
alluvial fan | natural | earth
alphabet | everyday | society
alternating current | scientific | energy
alternation of generations | scientific | life
amber | natural | matter
amplitude | scientific | signal
angular momentum | scientific | physics
animal migration | natural | life
antimatter | scientific | physics
arch | everyday | structure
archipelago | natural | earth
atmospheric circulation | natural | earth
atoll | natural | earth
aurora | natural | light
autumn | natural | time
avalanche | natural | earth
axiom | abstract | math
axle | everyday | structure
bamboo | natural | life
bark | natural | life
barometer | everyday | physics
basalt | natural | matter
basket weaving | everyday | craft
bearing | everyday | structure
bell | everyday | sound
bias | abstract | mind
binary number | abstract | math
binary star | scientific | physics
binomial nomenclature | abstract | structure
biodiversity | scientific | life
bioluminescence | natural | light
biome | scientific | life
bipedalism | scientific | life
black hole | scientific | physics
black-body radiation | scientific | energy
bog | natural | earth
boiling | natural | physics
brewing | everyday | craft
buoyancy | scientific | physics
calligraphy | everyday | craft
camouflage | natural | life
canyon | natural | earth
capacitor | scientific | energy
capillary | scientific | physics
carotenoid | natural | chemistry
cast iron | everyday | matter
catalysis | scientific | chemistry
causality | abstract | physics
cellular respiration | scientific | life
cellulose | natural | matter
centripetal force | scientific | physics
ceramic | everyday | matter
chain | everyday | structure
chameleon | natural | life
chaos theory | abstract | math
charcoal | everyday | matter
chemical equilibrium | scientific | chemistry
chisel | everyday | craft
chitin | natural | matter
chlorophyll | natural | life
